text|skill
Võistlusülesande lahendamiseks vajalikud erialased teadmised ja oskused: elektroonikakomponentide formeerimine ja paigaldamine trükkplaadile, elektroonikakomponentide trükkplaadilt maha jootmine, elektroonikakomponentide trükkplaadile jootmine, jooteseadmete kasutamine, jootematerjalide kasutamine, elektroonikakomponentide ohutus.|['Seadmete kasutamine ja käitamine', 'Seadistamine, kasutuseks valmis seadmine ja hooldamine', 'Valdkonna arengu jälgimine']
Tegemist on inimesega, kes on avatud muutustele nii koolis kui ka iseendas, alati valmis uuteks väljakutseteks ning leiab võimaluse ka kõige keerulisemate ideede elluviimiseks. |['Suhtlemisoskus']
72% juhtidest tõi kõige tähtsama tegurina välja oma töötajate kohanemisvõime, valmisoleku uusi oskusi omandada ja liikuda uude tööalasesse rolli. |['Meeskonna juhtimine']
Sagedased muutused tööelus tähendavad ka valmisolekut töö käigus pidevalt uusi oskusi ja teadmisi omandada ning arengueesmärke seada, et suurendada nn karjääri kohanemisvõimet.|['Suhtlemisoskus']
Palju on juttu sellest, et eestlased pole head müügimehed ning meie müügioskused jätavad pehmelt öeldes soovida|['Suhtlemisoskus']
Müümine on oskus ning maailmas on väga vähe ettevõtteid, mille kogemustepagas selles valdkonnas on suurem kui Southwesternil.|['Valdkonna arengu jälgimine']
Vaatame seminaril otsa esinemishirmu tekkemehhanismidele ja viisidele, kuidas lühikeses ja pikas perspektiivis ärevusega paremini toime tulla.|['Valdkonna arengu jälgimine']
Tähelepanu väärib tema oskus leida rahvusvahelise ambitsiooniga ideedele erinevate projektide kaudu rahastus.|['Valdkonna arengu jälgimine']
Teiseks on mõistlik luua just oma ettevõttele sobiv ajatemplite kasutamise lahendus, sest tembeldamine ei ole ühekordne ja see vajadus tekib järgnevate dokumentide suhtes ka tulevikus.|['Valdkonna arengu jälgimine']
Seda enam, et kui peaks tekkima reaalne olukord, kus reservvägi tuleb kokku kutsuda üleöö ja teadmata perioodiks, siis normaalne elu ning ka äritegevus saavad tugevalt häiritud, kuid selle vältimiseks me saame juba praegu plaani pidada ja võimalikke riske maandada.|['Valdkonna arengu jälgimine']
Kui aga aja möödudes selgub, et sõjapõgenikust töötajal tuleb jääda Eestisse pikemaks ajaks, näiteks mitmeks aastaks, ootame ka tööandjalt initsiatiivi, et tagada et nende töötajate nõutaval tasemel eesti keele oskus.|['Keeleoskus']
Metsanduse juhtide ja tippspetsialistide, sh ostu- ja müügijuhtide olulisteks erialasteks oskusteks ja teadmisteks on laiaulatuslikud metsabioloogia ja mullastikualased teadmised, metsaressursi pikaajalise strateegilise planeerimise oskus ja kontseptuaalne mõtlemisoskus. Neil on võime käsitleda metsa majandamist ühe osana majandusest ja ettevõtlusest ning näha ja planeerida kaugele ette, sest metsanduses ei toimu protsessid ühe inimpõlve jooksul.|['Kavade, strateegiate ja plaanide väljatöötamine', 'Valdkonna arengu jälgimine', 'Protsessi ja muudatuste juhtimine']
Metsanduse juhtidel ja tippspetsialistidel jääb praegu enim puudu oskusest näha metsamajandamist ja puidutööstust ühe osana kogu majandusest ja ettevõtlusest, probleemilahendamise oskusest, ideede genereerimise ning inimeste juhtimise oskusest.|['Valdkonna arengu jälgimine', 'Protsessi ja muudatuste juhtimine']
Kasvava tähtsusega üldisteks oskusteks on analüüsivõime , läbirääkimise ja veenmise oskus, sihikindlus , eesmärkide seadmine, probleemilahendamise, meeskonnatöö ja koostööoskus ning oskus tellida ja rakendada valdkonnaspetsiifilisi IKT-lahendusi.|['Digitaalne kirjaoskus', 'Analüüsioskus', 'Meeskonnatöö- ja koostööoskus', 'Meeskonna juhtimine', 'Suhtlemisoskus', 'Valdkonna arengu jälgimine', 'Keeleoskus']
Puitkonstruktsioonide projekteerijate kasvava tähtsusega erialasteks oskusteks ja teadmisteks on toodete, sh puitmajade projekteerimise eripärade tundmine, puitmaterjali eripärade ja materjalitehnoloogia tundmine, tööprotsesside tundmine, jooniste koostamine ja konstrueerimine, jooniste lugemise oskus nii käsitsi kui arvutil, CNC töötlemiskeskustele programmide koostamine, toodete projekteerimine, joonestamise ja projekteerimistarkvaraga töötamine, sh targa tellija kompetents – milline tarkvara, milliseks lahenduseks ja milliste tingimustega sobib, millised kulutused on efektiivsed  ning millist infot süsteemist koguda tasub.|['Digitaalne kirjaoskus', 'Analüüsioskus', 'Seadistamine, kasutuseks valmis seadmine ja hooldamine', 'Märgisüsteemide kasutamine ja/või koostamine', 'Protsessi ja muudatuste juhtimine']
Tootearendajate kasvava tähtsusega erialasteks oskusteks ja teadmisteks on puitmaterjali eripärade ja materjalitehnoloogia tundmine, tootmistehnoloogia tundmine, joonestamine ja projekteerimine, sh CAD-CAM-i, MathCAD-i ja 3D projekteerimine.|['Digitaalne kirjaoskus', 'Seadistamine, kasutuseks valmis seadmine ja hooldamine', 'Märgisüsteemide kasutamine ja/või koostamine', 'Valdkonna arengu jälgimine', 'Protsessi ja muudatuste juhtimine']
Olulised on teadmised puidukuivatamisest, aspiratsioonist, arusaamine detailide ja toodete valmistamise ja viimistlemise tsüklist ning mõistmine, mida tehti enne, kui detail või toode viimistlusse läheb.|['Protsessi ja muudatuste juhtimine', 'Töövahendite või materjalide valimine']
Vajaka jääb ka materjalide tundmisest  ja materjalide säästlikust kasutamisest, teadmistest puidukuivatamisest ja aspiratsioonist, arusaamisest detailide ja toodete valmistamise ja viimistlemise tsüklist, mõistmisest, mida tehti enne, kui detail või toode viimistlusse läheb.|['Juhistest ja nõuetest lähtumine', 'Töövahendite või materjalide valimine']
Puidupingioperaatoritel jääb puudu teadmistest tootmisprotsessidest ja nende juhtimisest, materjalide ja toodete tundmisest, selle kohta, milline puit sobib milliseks tooteks  ning kuidas seda kõige efektiivsemalt saada.|['Protsessi ja muudatuste juhtimine', 'Töövahendite või materjalide valimine']
Üldistest teadmistest, oskustest ja hoiakutest jätavad soovida kohuse ja vastutustunne ja erialaste IKT-lahenduste kasutamine  –programmide kirjutamise oskus  (programmeerimine), teadmised matemaatikast, läbirääkimiste oskus ja ettevõtlikkus.|['Digitaalne kirjaoskus', 'Suhtlemisoskus', 'Valdkonna arengu jälgimine']
Kasvava tähtsusega üldisteks oskusteks, teadmisteks ja hoiakuteks on meeskonnatöö oskus.|['Meeskonnatöö- ja koostööoskus', 'Meeskonna juhtimine', 'Suhtlemisoskus']
Arboristi kasvava tähtsusega erialasteks oskusteks ja teadmisteks on tööohutus ja -turvalisus, ökoloogia ja diagnostika, töötamine tõstukitelt ja tööplatvormidelt , võsa- ja kettsaega töötamine ja saele esmase hoolduse tegemine. Suureneb nutiseadmete ja IKT-lahenduste kasutamine.|['Digitaalne kirjaoskus', 'Seadmete kasutamine ja käitamine', 'Juhistest ja nõuetest lähtumine', 'Seadistamine, kasutuseks valmis seadmine ja hooldamine', 'Valdkonna arengu jälgimine']
“Kui digimaailm kolib üha enam nn pärismaailma või, täpsemalt öeldes, kui pärismaailm muutub digitaalseks, on iseenesestmõistetav, et kõik inimesed peavad omandama digitaalse kirjaoskuse,” ütles president Toomas Hendrik Ilves Tallinna Tehnikaülikooli aulas peetud avalikus loengus, kus ta analüüsis meie igapäevaelu paratamatut ja aina kiiremini kasvavat sõltuvust digimaailmast.|['Digitaalne kirjaoskus', 'Valdkonna arengu jälgimine']
Harvesterioperaatoritel jääb puudu elektriskeemi lugemise oskustest juhtmekatkestuste välja selgitamiseks, sortimentide ja puidurikete tundmisest, kalibreerimise ja järkamisfaili koostamise oskusest, väiksemate remonttööde tegemiseks masina mehhaanika tundmisest ja rikete tuvastamise oskusest, IKT-lahenduste (eriti vanema põlvkonna töötajatel) ning efektiivsete ja ergonoomiliste töövõtete rakendamisest.|['Digitaalne kirjaoskus', 'Seadistamine, kasutuseks valmis seadmine ja hooldamine', 'Ergonoomiliste töövõtete rakendamine', 'Valdkonna arengu jälgimine']
Metsaveo ja puiduhakkuri veokijuhtide kasvava tähtsusega oskusteks on hüdrotõstukiga töötamine, oskus tagurdada kitsal metsateel, puidu sortimentide ja puidurikete tundmine, IKT-lahenduste rakendamine (nutikad pardaarvutid, e-veoselehed, navigeerimine ehk sõitmine koordinaatide järgi) ja võime sooritada töövõtteid ohutult, turvaliselt ning ergonoomiliselt. |['Digitaalne kirjaoskus', 'Seadmete kasutamine ja käitamine', 'Seadistamine, kasutuseks valmis seadmine ja hooldamine', 'Ergonoomiliste töövõtete rakendamine', 'Valdkonna arengu jälgimine']
Tootmisseadmete tehnikute kasvava tähtsusega erialasteks oskusteks ja teadmisteks on tootmismasinate, -protsesside, -automaatika, -süsteemide, -liinide ja robotite seadistamine, töös hoidmine, hooldamine ja programmeerimine, lõikeriistade teritustehnoloogiate tundmine, elektrivoolu jooniste lugemise oskus, erialaste IKT-lahenduste kasutamine, sh programmide ja masinatega seotud patenditud seadmete kasutamise reeglite tundmine.|['Digitaalne kirjaoskus', 'Seadmete kasutamine ja käitamine', 'Seadistamine, kasutuseks valmis seadmine ja hooldamine', 'Valdkonna arengu jälgimine']
Ka siin on peamiseks kasvavaks oskuseks efektiivsete ja ergonoomiliste töövõtete omamise oskus.|['Ergonoomiliste töövõtete rakendamine', 'Valdkonna arengu jälgimine']
Kuigi vaja läheb lihtsamate remonttööde tegemise oskust, on masinate remontimine tulevikus tõenäoliselt eraldi amet, mis tähendab, et masinaoperaatoritel selle oskuse järele vajadus väheneb.|['Seadmete kasutamine ja käitamine', 'Seadistamine, kasutuseks valmis seadmine ja hooldamine']
Kuigi vaja läheb lihtsamate remonttööde tegemise oskust, on masinate remontimine eraldi amet, mis tähendab, et autojuhid ei pea sellega ise nii palju tegelema.|['Seadistamine, kasutuseks valmis seadmine ja hooldamine']
Samas kasvab vajadus osata harvesteri rikkeid tuvastada.|['Valdkonna arengu jälgimine']
Kasutab oma töös inglise keelt A1 tasemel, lisa 2 – Keelte oskustasemete kirjeldused.|['Digitaalne kirjaoskus', 'Keeleoskus']
“Me saame anda täiendavad IKT oskused, logistikutele, keeletehnoloogidele, kellele iganes,” ütles Paananen, kelle sõnul oleks just elukestev õpe üheks võtmesõnaks Eesti majanduse edendamisel ning rahvusvahelises konkurentsis hoidmisel.|['Digitaalne kirjaoskus', 'Valdkonna arengu jälgimine', 'Keeleoskus']
On teadlik oma tegevuse tagajärgedest.|['Õppimisoskus']
Järgib kõikides tööprotsessi etappides ettevõttes kehtestatud ohutusnõudeid (tuletööde eeskirjad, tõsteseadmete kasutus- ja ohutusnõuded ning käsitsi raskuste teisaldamisel kehtestatud nõuded). Järgib kõikides tööprotsessi etappides tööohutuse nõudeid.Järgib kõikides tööprotsessi etappides keskkonnahoiu nõudeid.Järgib kõikides tööprotsessi etappides keskkonnahoiu nõudeid.|['Seadmete kasutamine ja käitamine', 'Juhistest ja nõuetest lähtumine', 'Seadistamine, kasutuseks valmis seadmine ja hooldamine', 'Ergonoomiliste töövõtete rakendamine', 'Valdkonna arengu jälgimine']
Kontrollib detaili joonisele vastavust mõõtevahendite abil. (Detaili joonisele mittevastavuse korral tegutseb vastavalt ettevõttes kehtestatud reeglitele.)|['Märgisüsteemide kasutamine ja/või koostamine']
cnc tootmissüsteemid|['Seadmete kasutamine ja käitamine']
Kampaania algatamise põhjuseks on üha kasvav nõudlus IKT (info- ja kommunikatsioonitehnoloogia) oskustega töötajate järele, mis on rahuldamata vaatamata kõrgele töötuse tasemele Euroopas. |['Digitaalne kirjaoskus', 'Valdkonna arengu jälgimine']
kiirprototüüpimise|['Seadmete kasutamine ja käitamine']
intellektuaalse omandi õigus|['Digitaalne kirjaoskus']
hangib infotehnoloogilisi vahendeid|['Digitaalne kirjaoskus']
Kampaania näol on tegemist üleeuroopalise, mitut huvirühma liitva partnerlusega, mille eesmärgiks on vähendada puudujääki Euroopa elanike IKT-alastes oskustes ning aidata rakendada IKT potentsiaali tööhõive kujundamisel.|['Digitaalne kirjaoskus', 'Valdkonna arengu jälgimine']
tehniliste jooniste koostamise|['Märgisüsteemide kasutamine ja/või koostamine']
koostejoonised|['Märgisüsteemide kasutamine ja/või koostamine']
algatusvõime|['Mõõtmine']
andmebaas|['Mõõtmine']
E-oskused on vajalikud väikeste või keskmise suurusega ettevõtete töötajatele, noortele inimestele ning tööturule siseneda soovivatele töötutele. Samuti on e-oskused üliolulised ettevõtetele, mis vajavad kõrgetasemelist tööjõudu. Kuna Euroopa võitleb pikaajalise majanduslangusega, on e-oskused majanduse jaluleaitamisel olulisemad kui kunagi varem. Heade e-oskustega inimesed mängivad keskset rolli uuendusliku ning konkurentsivõimelise Euroopa kujundamisel.|['Digitaalne kirjaoskus', 'Suhtlemisoskus', 'Valdkonna arengu jälgimine']
keevitamine|['Seadmete kasutamine ja käitamine', 'Mõõtmine']
matemaatika|['Mõõtmine']
mõõtkavad|['Mõõtmine']
probleemsituatsiooni lahendamine|['Õppimisoskus']
Seoses kasvava projektipõhise tootmise mahuga on ka oskustöötajatel suurenev vajadus osata olla meeskonnajuht ja uute töötajate juhendaja.|['Meeskonna juhtimine']
Projektipõhise tootmise mahu kasv eeldab ka oskustöötajatelt oskust olla meeskonnajuht ja uute töötajate juhendaja.|['Meeskonna juhtimine']
Ettevõtjate hinnangul vajavad selle põhikutseala puhul täiendamist näiteks personali planeerimise, tootmiskulude mõistmise ja juhtimisega seotud teadmised.|['Protsessi ja muudatuste juhtimine']
On ilmselge, et nõudmised töötajate oskustele kasvavad kiiresti. Palju sellest, mis viis aastat tagasi oli IT spetsialistide mängumaa, on täna vajalik kõigile arvutiga töötajatele. Vastavaid oskusi tuleb sihipäraselt õpetada nii noortele kui täiskasvanuile selleks, et olla edukas riikide konkurentsis.|['Digitaalne kirjaoskus', 'Valdkonna arengu jälgimine']
Seoses tehnoloogia arenguga on keevituses kasvav nõudlus uuemate keevitusmeetodite (nt hõõrdkeevitus, laserkeevitus) valdamise järele ja oluline uus oskus on keevitusrobotitega töötamine.|['Seadmete kasutamine ja käitamine', 'Seadistamine, kasutuseks valmis seadmine ja hooldamine', 'Valdkonna arengu jälgimine']
Traditsiooniliste keevitusmeetodite (elektroodkeevitus) kõrval, mis annavad toodete ja konstruktsioonide valmistajatele keevitaja baasoskused, tuleb enam tähelepanu pöörata uutele keevitusmeetoditele ning töös kasutatavate abivahendite (rakiste) kasutamisele.|['Seadmete kasutamine ja käitamine', 'Seadistamine, kasutuseks valmis seadmine ja hooldamine', 'Ergonoomiliste töövõtete rakendamine', 'Valdkonna arengu jälgimine']
Tööstussektori juht, saada töötaja tasuta digioskuste koolitusele|['Digitaalne kirjaoskus']
Ettevõtjad otsivad praktilise kogemusega spetsialiste, kes oleks kiiresti muutuvas tehnoloogilises keskkonnas õpi- ja kohanemisvõimelised.|['Ergonoomiliste töövõtete rakendamine', 'Eesmärgi saavutamine', 'Valdkonna arengu jälgimine']
Praegustel inseneridel napib ekspertide hinnangul kvaliteedistandardite lugemise, mõistmise ja rakendamise oskusi.|['Valdkonna arengu jälgimine']
Järjest rohkem pannakse rõhku tööohutuse alaste nõuete tundmisele ja järgimisele.|['Juhistest ja nõuetest lähtumine', 'Ergonoomiliste töövõtete rakendamine']
Lisaks erialastele oskustele on järjest olulisem tööohutusnõuete mõistmine ja järgimine.|['Juhistest ja nõuetest lähtumine']
Jätkuvalt olulised erialased oskused on jooniste, skeemide lugemise ja mõistmise oskus ning montaažioskus; tööohutusalaste nõuete mõistmine ja järgimine.|['Juhistest ja nõuetest lähtumine', 'Märgisüsteemide kasutamine ja/või koostamine', 'Ergonoomiliste töövõtete rakendamine', 'Valdkonna arengu jälgimine']
Ettevõtjate hinnangul vajavad koolilõpetajate puhul arendamist jooniste lugemise, ruumilise mõtlemise ja montaažioskused.|['Märgisüsteemide kasutamine ja/või koostamine', 'Ergonoomiliste töövõtete rakendamine', 'Detailide kokkupanemine', 'Ruumiline mõtlemine']
Erialastest oskustest vajavad arendamist jooniste lugemise ja montaažioskused.|['Digitaalne kirjaoskus', 'Märgisüsteemide kasutamine ja/või koostamine', 'Ruumiline mõtlemine']
Seoses valdkonna kiire arenguga on pidev vajadus erialaseid oskusi täiendada, õppida juurde uusi tehnoloogiaid.|['Valdkonna arengu jälgimine']
Lähtuvalt antud eesmärgist tellis MKM digitaalse kirjaoskuse baaskoolituse tööstussektori töötajatele ning IKT-oskuste vajalikkust põhjendavad teadlikkuse tõstmise tegevused ettevõtete juhtidele – projekti nimi on DigiABC ja projekt viiakse ellu perioodil 2017-2020.|['Digitaalne kirjaoskus', 'Valdkonna arengu jälgimine']
Töötajate digitaalse kirjaoskuse puudumine on takistuseks tööalases arengus.|['Digitaalne kirjaoskus']
Google pakub koostöös Majandus- ja kommunikatsiooniministeeriumi (MKM), Ettevõtluse Arendamise Sihtasutuse (EAS) ja Maakondlike Arenduskeskustega kõigile huvilistele tasuta koolitusi, et suurendada nende teadmisi näiteks veebilehe või -poe arendamisest, digimaailmas nähtavuse tõstmisest, sotsiaalmeedia turundusest, digistrateegiate koostamisest ja paljust muust.|['Digitaalne kirjaoskus', 'Valdkonna arengu jälgimine']
Lisaks annetab Google Eesti Ametiühingute Keskliidule 150 000 dollarit ehk umbes 125 000 eurot, et tõsta spetsiifilisemalt 1000 madalapalgalise töötaja digioskusi.|['Digitaalne kirjaoskus']
