text_id,lemma_list
text0,"['võistlusülesanne', 'lahendamine', 'vajalik', 'erialane', 'teadmine', 'ja', 'oskus', ':', 'elektroonikakomponent', 'formeerimine', 'ja', 'paigaldamine', 'trükkplaat', ',', 'elektroonikakomponent', 'trükkplaat', 'maha', 'jootmine', ',', 'elektroonikakomponent', 'trükkplaat', 'jootmine', ',', 'jooteseade', 'kasutamine', ',', 'jootematerjal', 'kasutamine', ',', 'elektroonikakomponent', 'ohutus', '.']"
text1,"['võistlusülesanne', 'tulema', 'elektroonik', 'etteantud', 'komponent', 'kokku', 'monteerima', 'pindmontaaž', 'ja', 'läbiviiktehnoloogia', 'kasutav', 'elektroonikaseade', 'trükkplaat', '.']"
text2,"['see', 'olema', 'väga', 'hea', 'ja', 'positiivne', 'alus', ',', 'kust', 'kõrgem', 'probleemilahendus', 'ja', 'tehnoloogia', 'kasutus', 'oskus', 'edasi', 'arendama', '.']"
text3,"['“', 'töövõte', 'ja', 'ohutustehnika', 'olema', 'kõik', 'võistleja', 'selge', 'ja', 'see', 'eest', 'saama', 'kõik', 'maksimumpunkt', ',', '”', 'tunnustama', 'Kolk', '.']"
text4,"['enamasti', 'olema', 'see', 'pigem', 'eraisik', 'ja', 'väike', 'suurus', 'ettevõtja', ',', 'kes', 'tihti', 'puuduma', 'ka', 'oskus', ',', 'võimekus', 'ja', 'eelarve', 'oma', 'dokument', 'pikaajaline', 'turvalisus', 'tagamine', '.']"
text5,"['“', 'täpsus', 'ja', 'osavus', 'nõudev', 'käsijootmine', 'ülesanne', 'jälgima', 'IPC', 'meisterkoolitaja', 'sertifikaat', 'kohtunik', 'Tallinn', 'polütehnikum', ',', 'kes', 'rahvusvaheline', 'IPC', 'standard', 'tuginema', 'hindama', 'valminud', 'trükkplaat', 'töövõime', 'ja', 'koostamine', 'kvaliteet', ',', '”', 'selgitama', 'Kolk', 'võistlustöö', 'hindamine', 'parameeter', 'ning', 'lisama', ',', 'et', 'võidutöö', 'tulemus', 'olema', 'ideaalilähedane', '.']"
text6,"['ühiselt', 'vaatama', 'üle', ',', 'kuidas', 'ja', 'milline', 'eesmärk', 'puu', 'looma', 'ning', 'kuidas', 'tulemus', 'hindama', 'ning', 'tagama', 'edusamm', 'seotud', 'kommunikatsioon', '.']"
text7,"['Likta', 'kutsuma', 'inimene', 'kõik', 'kolm', 'balti', 'riik', 'üles', 'osalema', 'projekt', '“', 'Virtual', 'Internships', 'in', 'the', 'Baltics', '”', 'raames', 'tasu', 'digioskus', 'kursus', ',', 'pakk', 'kokku', '30000', 'inimene', 'võimalus', 'tasu', 'oma', 'teadmine', 'parandama', 'ja', 'seeläbi', 'tulevik', 'karjäärivõimalus', 'edendama', '.']"
text8,"['15%', 'eestimaalane', 'nentima', 'värske', 'uuring', 'kohaselt', ',', 'et', 'tema', 'olema', 'töö', 'kandideerima', 'oodatud', 'enam', 'kui', 'vaid', 'digitaalne', 'põhioskus', '-', 'küsitud', 'olema', 'teadmine', 'andmeanalüüs', ',', 'oodatud', 'olema', 'programmeerimisoskus', 'või', 'muu', 'keerukam', 'digioskus', '.']"
text9,"['„', 'digitaalne', 'kirjaoskus', 'olema', 'saama', 'mina', 'igapäevaelu', 'osa', '.']"
text10,"['lähiaasta', 'hakkama', 'tööandja', 'üleüldine', 'digipööre', 'tulemus', 'digioskus', 'veelgi', 'enam', 'tähelepanu', 'pöörama', '.']"
text11,"['olema', 'väga', 'teretulnud', ',', 'et', 'täiskasvanu', 'saama', 'tasu', 'kursus', 'nii', 'oma', 'praktiline', 'kui', 'teoreetiline', 'IT-teadmine', 'arendama', ',', 'kasvatama', 'nii', 'oma', 'konkurentsivõime', '.']"
text12,"['nõudlus', 'digiteenus', 'ja', '-', 'oskus', 'järele', 'olema', 'kiiresti', 'kasvama', 'kõikjal', 'Euroopa', 'Liit', ',', 'nii', 'ka', 'Balti', 'riik', ',', 'kus', 'nii', 'palk', 'kui', 'tööjõuvajadus', 'kasvama', 'kõige', 'kiiremini', 'just', 'IT-sektor', '.']"
text13,"['ellest', 'saama', 'aru', 'ka', 'töötaja', ':', 'et', 'oma', 'professionaalne', 'oskus', 'edendama', ',', 'olema', '31,8%', 'Läti', ',', '28,4%', 'Leedu', 'ja', '25%', 'Eesti', 'elanik', 'värske', 'uuring', 'kohaselt', 'valmis', 'oma', 'digioskus', 'parandama', '.']"
text14,"['Vahemeri', 'Liit', 'konverents', 'fookus', 'digipööre', 'ja', 'tulevik', 'digioskus', 'edendamine']"
text15,"['konverents', 'kogunema', '50', 'osaleja', 'Euroopa', 'ja', 'Vahemeri', 'piirkond', ',', 'kes', 'hulgas', 'olema', 'valitsusametnik', ',', 'erasektor', 'esindaja', ',', 'ettevõtja', ',', 'teadlane', 'ja', 'teine', 'sidusrühm', 'esindaja', ',', 'et', 'arutama', 'mitu', 'teema', ',', 'nagu', 'e-valitsemine', ',', 'e-teenus', ',', 'digimajandus', 'ja', 'digioskus', '.']"
text16,"['president', 'Ilves', 'tudeng', ':', 'inimene', 'digitaalne', 'kirjaoskus', 'olema', 'möödapääsmatu']"
text17,"['“', 'kui', 'digimaailm', 'kolima', 'üha', 'enam', 'nn', 'pärismaailm', 'või', ',', 'täpsemalt', 'ütlema', ',', 'kui', 'pärismaailm', 'muutuma', 'digitaalne', ',', 'olema', 'iseenesestmõistetav', ',', 'et', 'kõik', 'inimene', 'pidama', 'omandama', 'digitaalne', 'kirjaoskus', ',', '”', 'ütlema', 'president', 'Toomas', 'Hendrik', 'Ilves', 'Tallinn', 'tehnikaülikool', 'aula', 'peetud', 'avalik', 'loeng', ',', 'kus', 'tema', 'analüüs', 'mina', 'igapäevaelu', 'paratamatu', 'ja', 'aina', 'kiiremini', 'kasvav', 'sõltuvus', 'digimaailm', '.']"
text18,"['Paananen', ':', 'ka', 'keskealine', 'töötaja', 'tulema', 'andma', 'IKT', 'oskus']"
text19,"['Skype', 'Eesti', 'endine', 'juht', 'sõna', 'tulema', 'ka', 'juba', 'keskealine', 'töötaja', 'andma', 'IKT', 'oskus', '.']"
text20,"['“', 'mina', 'saama', 'andma', 'täiendama', 'IKT', 'oskus', ',', 'logistik', ',', 'keeletehnoloog', ',', 'kes', 'iganes', ',', '”', 'ütlema', 'Paananen', ',', 'kes', 'sõna', 'olema', 'just', 'elukestev', 'õpe', 'üks', 'võtmesõna', 'Eesti', 'majandus', 'edendamine', 'ning', 'rahvusvaheline', 'konkurents', 'hoidmine', '.']"
text21,"['kampaania', 'eesmärk', 'olema', 'tõstma', 'kodanik', 'teadlikkus', 'tööalane', 'e-oskus', 'täiendamine', 'vajadus', '.']"
text22,"['kampaania', 'algatamine', 'põhjus', 'olema', 'üha', 'kasvav', 'nõudlus', 'IKT', '(', 'info', 'ja', 'kommunikatsioonitehnoloogia', ')', 'oskus', 'töötaja', 'järele', ',', 'mis', 'olema', 'rahuldamata', 'vaatamata', 'kõrgele', 'töötus', 'tase', 'Euroopa', '.']"
